"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",3234673,3234954,282,"*","IL7-H_H3k27ac_S295_peak_1",14,".",2.6996,3.67511,1.46386,"Intron (ENSMUST00000070533.4/497097, intron 2 of 2)",1,3214482,3671498,457017,2,"497097","ENSMUST00000070533.4",436544,"ENSMUSG00000051951","Xkr4","X-linked Kx blood group related 4"
"chr1",4582869,4584683,1815,"*","IL7-H_H3k27ac_S295_peak_2",14,".",2.6996,3.67511,1.46386,"Exon (ENSMUST00000195771.1/ENSMUST00000195771.1, exon 2 of 2)",1,4491390,4497354,5965,2,"20671","ENSMUST00000192650.5",-85515,"ENSMUSG00000025902","Sox17","SRY (sex determining region Y)-box 17"
"chr1",4785272,4785789,518,"*","IL7-H_H3k27ac_S295_peak_3",45,".",4.5237,6.90312,4.50015,"Promoter (<=1kb)",1,4773206,4785710,12505,2,"27395","ENSMUST00000130201.7",0,"ENSMUSG00000033845","Mrpl15","mitochondrial ribosomal protein L15"
"chr1",4803769,4804052,284,"*","IL7-H_H3k27ac_S295_peak_4",13,".",2.7661,3.45572,1.33741,"Distal Intergenic",1,4807788,4848410,40623,1,"18777","ENSMUST00000134384.7",-3736,"ENSMUSG00000025903","Lypla1","lysophospholipase 1"
"chr1",4807273,4808337,1065,"*","IL7-H_H3k27ac_S295_peak_5",47,".",5.04375,7.17394,4.76865,"Promoter (<=1kb)",1,4807788,4848410,40623,1,"18777","ENSMUST00000134384.7",0,"ENSMUSG00000025903","Lypla1","lysophospholipase 1"
"chr1",4857692,4858445,754,"*","IL7-H_H3k27ac_S295_peak_6",64,".",5.89248,8.95445,6.41636,"Promoter (<=1kb)",1,4857814,4897905,40092,1,"21399","ENSMUST00000081551.13",0,"ENSMUSG00000033813","Tcea1","transcription elongation factor A (SII) 1"
"chr1",5083023,5083405,383,"*","IL7-H_H3k27ac_S295_peak_7",29,".",3.58642,5.25243,2.91929,"Promoter (<=1kb)",1,5083080,5162529,79450,1,"108664","ENSMUST00000044369.12",0,"ENSMUSG00000033793","Atp6v1h","ATPase, H+ transporting, lysosomal V1 subunit H"
"chr1",6213444,6215787,2344,"*","IL7-H_H3k27ac_S295_peak_8",126,".",8.21532,15.5335,12.6723,"Promoter (<=1kb)",1,6214645,6276648,62004,1,"12421","ENSMUST00000027040.12",0,"ENSMUSG00000025907","Rb1cc1","RB1-inducible coiled-coil 1"
"chr1",7088251,7090783,2533,"*","IL7-H_H3k27ac_S295_peak_9",43,".",4.42638,6.84358,4.39401,"Promoter (<=1kb)",1,7088920,7173628,84709,1,"319263","ENSMUST00000061280.16",0,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"chr1",7161333,7161597,265,"*","IL7-H_H3k27ac_S295_peak_10",14,".",2.69738,3.66572,1.45823,"Promoter (<=1kb)",1,7160557,7172659,12103,1,"319263","ENSMUST00000183204.1",776,"ENSMUSG00000051285","Pcmtd1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
